,Source IP,S City,S Region,S Country,S Lat,S Long,Destination IP,D City,D Region,D Country,D Lat,D Long
47,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
48,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
49,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
50,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
51,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
52,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
53,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
54,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
55,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
56,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
57,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
58,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
59,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
60,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
61,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
62,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
63,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
64,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
65,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
66,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
67,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
68,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
69,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,239.255.255.250,Unknown,Unknown,Unknown,Unknown,Unknown
70,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
71,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
72,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
73,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
74,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
75,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
76,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
77,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
78,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
79,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
80,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
81,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
82,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
83,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
84,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
85,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
86,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
87,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
88,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
89,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
90,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
91,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
92,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
93,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
94,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
95,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
96,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
97,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
98,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
99,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
100,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
101,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
102,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
103,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
104,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
105,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
106,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
107,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
108,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
109,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
110,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
111,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
112,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
113,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
114,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
115,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
116,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
117,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
118,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
119,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
120,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
121,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
122,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.255,Unknown,Unknown,Unknown,Unknown,Unknown
123,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
124,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
125,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
126,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
127,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
128,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
